Bodil Koch;Socialdemokratiet;1960
C F Kofoed;Venstre;1960
Ib Kolbjørn;Socialdemokratiet;1960
Ole Bjørn Kraft;Det Konservative Folkeparti;1960
Jens Otto Krag;Socialdemokratiet;1960
Erik Kragh;Det Konservative Folkeparti;1960
Axel Kristensen;Venstre;1960
Ejner Kristensen;Venstre;1960
Evald Kristensen;Socialdemokratiet;1960
Peter Kristensen;Socialdemokratiet;1960
Bjørn Krogh;Socialdemokratiet;1960
Morten Lange;Socialistisk Folkeparti;1960
Aksel Larsen;Socialistisk Folkeparti;1960
Arne Larsen;Socialistisk Folkeparti;1960
Hans Jesper Larsen (Bjerre);Socialdemokratiet;1960
Helge Larsen;Det Radikale Venstre;1960
Peter Larsen;Venstre;1960
Anker Høyer Lau;Venstre;1960
Waldemar Laursen;Socialdemokratiet;1960
Kai Lindberg;Socialdemokratiet;1960
Marie A von Lowzow;Det Konservative Folkeparti;1960
Christian Madsen;Socialistisk Folkeparti;1960
Otto Mathiasen;Socialistisk Folkeparti;1960
Niels Matthiasen;Socialdemokratiet;1960
Th Mikkelsen;Socialdemokratiet;1960
Kai Moltke;Socialistisk Folkeparti;1960
Clara Munck;Det Konservative Folkeparti;1960
Poul Møller;Det Konservative Folkeparti;1960
Niels Mørk;Socialdemokratiet;1960
Carl Nielsen;Socialdemokratiet;1960
Harald Nielsen;Venstre;1960
Helge Nielsen;Socialdemokratiet;1960
Johan Chr Nielsen;Javnadarflokkurin;1960
Knud Axel Nielsen;Socialdemokratiet;1960
Peter Nielsen;Socialdemokratiet;1960
Poul Nilsson;Socialdemokratiet;1960
Erik Ninn-Hansen;Det Konservative Folkeparti;1960
AC Normann;Det Radikale Venstre;1960
Viola Nørløv;Socialdemokratiet;1960
Lars M Olsen;Socialdemokratiet;1960
Axel Ivan Pedersen;Socialdemokratiet;1960
Gustav Pedersen;Socialdemokratiet;1960
Helga Pedersen;Venstre;1960
Carl Petersen;Socialdemokratiet;1960
Ellen Strange Petersen;Det Konservative Folkeparti;1960
Grete Philip;Det Radikale Venstre;1960
Kjeld Philip;Det Radikale Venstre;1960
Ellen Poulsen;Venstre;1960
Finn Poulsen;Venstre;1960
Iver Poulsen;De Uafhængige;1960
Johan M Fr Poulsen;Sambandsflokkurin;1960
O Vestergaard Poulsen;Det Konservative Folkeparti;1960
Carsten Raft;Det Konservative Folkeparti;1960
Chr Rasmussen;Socialdemokratiet;1960
Hans Rasmussen;Socialdemokratiet;1960
Henning Rasmussen;Socialdemokratiet;1960
Herluf Rasmussen;Socialistisk Folkeparti;1960
P A Rasmussen;Socialdemokratiet;1960
Knud Raunkjær;Venstre;1960
Niels Ravn;Det Konservative Folkeparti;1960
Peter Ravn;Socialdemokratiet;1960
Axel Reedtz-Thott;Det Konservative Folkeparti;1960
Emil Retoft;Socialdemokratiet;1960
Ib Adam Rimstad;De Uafhængige;1960
Nikolaj Rosing;Uden for partierne;1960
Else-Merete Ross;Det Radikale Venstre;1960
Edel Saunte;Socialdemokratiet;1960
Hans Schmidt (Oksbøl);Slesvigsk Parti;1960
Verner Sinnbeck;Venstre;1960
Astrid Skjoldbo;Socialdemokratiet;1960
Jens Skræppenborg-Nielsen;Socialistisk Folkeparti;1960
Karl Skytte;Det Radikale Venstre;1960
Anders Storgaard;Socialistisk Folkeparti;1960
Elna Syvertsen;Socialdemokratiet;1960
Poul Søgaard;Socialdemokratiet;1960
Adolph Sørensen;Det Konservative Folkeparti;1960
Axel Sørensen;Det Radikale Venstre;1960
Erna Sørensen;Det Konservative Folkeparti;1960
Jacob Sørensen;Venstre;1960
Poul Sørensen;Det Konservative Folkeparti;1960
Robert Sørensen;Socialdemokratiet;1960
