row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id,coalition
Troels Lund Poulsen,-0.3262342345279535,0.42640016239414147,Troels Lund Poulsen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332495,2019-01-15T19:03:00Z,2019,Venstre,2015-2019,286,2019_1,Yes
Anders Kronborg,-0.18303213717386965,0.24312080251008192,Anders Kronborg,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347930,2019-10-03T20:29:00Z,2019,Socialdemokratiet,2019-,139,2019_10,Yes
Anne Honoré Østergaard,-0.033496446236182,0.29107762670216414,Anne Honoré Østergaard,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347828,2019-10-03T19:36:00Z,2019,Venstre,2019-,93,2019_10,No
Anne Paulin,0.42194833846968827,0.4023794207102671,Anne Paulin,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,352063,2019-10-31T10:04:00Z,2019,Socialdemokratiet,2019-,277,2019_10,Yes
Annette Lind,-1.1677477985605682,0.3592415986579319,Annette Lind,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351791,2019-10-24T13:53:00Z,2019,Socialdemokratiet,2019-,946,2019_10,Yes
Anni Matthiesen,-0.3949188468476809,0.19681714054161947,Anni Matthiesen,20191_M12_referat,20191,12,"Referat af møde 12 den 25. oktober, 2019 kl. 10.00",25-10-2019,351977,2019-10-25T10:08:00Z,2019,Venstre,2019-,409,2019_10,No
Benny Engelbrecht,-0.38090817888559414,0.4994636974427124,Benny Engelbrecht,20191_M6_referat,20191,6,"Referat af møde 6 den 10. oktober, 2019 kl. 10.00",10-10-2019,349343,2019-10-10T10:34:00Z,2019,Socialdemokratiet,2019-,665,2019_10,Yes
Bertel Haarder,0,0.816496580927726,Bertel Haarder,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,348238,2019-10-03T23:17:00Z,2019,Venstre,2019-,56,2019_10,No
Birgitte Vind,-1.0967842914807806,0.6243767110486239,Birgitte Vind,20191_M12_referat,20191,12,"Referat af møde 12 den 25. oktober, 2019 kl. 10.00",25-10-2019,351967,2019-10-25T10:01:00Z,2019,Socialdemokratiet,2019-,703,2019_10,Yes
Birthe Rønn Hornbech,0,0.816496580927726,Birthe Rønn Hornbech,20191_M9_referat,20191,9,"Referat af møde 9 den 23. oktober, 2019 kl. 10.00",23-10-2019,350819,2019-10-23T10:44:00Z,2019,Venstre,2019-,133,2019_10,No
Bjarne Laustsen,0.6920507540207755,0.665571715230489,Bjarne Laustsen,20191_M4_referat,20191,4,"Referat af møde 4 den 8. oktober, 2019 kl. 13.00",08-10-2019,348528,2019-10-08T16:47:00Z,2019,Socialdemokratiet,2019-,146,2019_10,Yes
Bjørn Brandenborg,0.13933998895863178,0.21024629900343125,Bjørn Brandenborg,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351696,2019-10-24T12:32:00Z,2019,Socialdemokratiet,2019-,568,2019_10,Yes
Britt Bager,0,0.5773502691896257,Britt Bager,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347326,2019-10-03T13:47:00Z,2019,Venstre,2019-,145,2019_10,No
Carsten Kissmeyer,0.12075921167825407,0.3189670354347796,Carsten Kissmeyer,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,352065,2019-10-31T10:06:00Z,2019,Venstre,2019-,220,2019_10,No
Christian Rabjerg Madsen,-2.5101778020649568,0.39558560009743543,Christian Rabjerg Madsen,20191_M10_referat,20191,10,"Referat af møde 10 den 24. oktober, 2019 kl. 10.00",24-10-2019,351564,2019-10-24T10:12:00Z,2019,Socialdemokratiet,2019-,584,2019_10,Yes
Christoffer Aagaard Melson,-0.8672547354685328,0.6918050962967804,Christoffer Aagaard Melson,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347935,2019-10-03T20:32:00Z,2019,Venstre,2019-,230,2019_10,No
Ellen Trane Nørby,0,0.7071067811865476,Ellen Trane Nørby,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347457,2019-10-03T15:08:00Z,2019,Venstre,2019-,131,2019_10,No
Erling Bonnesen,0.150843388028975,0.14625107621596797,Erling Bonnesen,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,352348,2019-10-31T14:31:00Z,2019,Venstre,2019-,82,2019_10,No
