From,To,overlaps.OV,Month
Det Konservative Folkeparti,Socialdemokratiet,0.7472356357283669,1991-02-01
Det Konservative Folkeparti,Centrum,0.7749185031682401,1991-02-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.7758308198245513,1991-02-01
Det Konservative Folkeparti,Radikale Venstre,0.8640715214044474,1991-02-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.4679503817015215,1991-02-01
Venstre,Fremskridtspartiet,0.638099237476169,1991-02-01
Venstre,Det Konservative Folkeparti,0.78066330413079,1991-02-01
Venstre,Socialdemokratiet,0.7336597236762215,1991-02-01
Venstre,Centrum,0.8432283346168757,1991-02-01
Venstre,Socialistisk Folkeparti,0.9204039489984215,1991-02-01
Venstre,Radikale Venstre,0.8651615433657611,1991-02-01
Venstre,Kristeligt Folkeparti,0.46297717805835426,1991-02-01
Socialdemokratiet,Fremskridtspartiet,0.5715670619709102,1991-02-01
Socialdemokratiet,Det Konservative Folkeparti,0.7472356357283669,1991-02-01
Socialdemokratiet,Venstre,0.7336597236762215,1991-02-01
Socialdemokratiet,Centrum,0.7081499894932544,1991-02-01
Socialdemokratiet,Socialistisk Folkeparti,0.7390113267158139,1991-02-01
Socialdemokratiet,Radikale Venstre,0.7759248233542241,1991-02-01
Socialdemokratiet,Kristeligt Folkeparti,0.5864112937016739,1991-02-01
Socialistisk Folkeparti,Fremskridtspartiet,0.5921412164903869,1991-02-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.7758308198245513,1991-02-01
Socialistisk Folkeparti,Venstre,0.9204039489984215,1991-02-01
Socialistisk Folkeparti,Socialdemokratiet,0.7390113267158139,1991-02-01
Socialistisk Folkeparti,Radikale Venstre,0.8390655522595731,1991-02-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.45398757987963817,1991-02-01
Radikale Venstre,Fremskridtspartiet,0.6959201393609546,1991-02-01
Radikale Venstre,Det Konservative Folkeparti,0.8640715214044474,1991-02-01
Radikale Venstre,Venstre,0.8651615433657611,1991-02-01
Radikale Venstre,Socialdemokratiet,0.7759248233542241,1991-02-01
Radikale Venstre,Socialistisk Folkeparti,0.8390655522595731,1991-02-01
Radikale Venstre,Kristeligt Folkeparti,0.4775872056006149,1991-02-01
Kristeligt Folkeparti,Fremskridtspartiet,0.4530928312244818,1991-02-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.4679503817015215,1991-02-01
Kristeligt Folkeparti,Venstre,0.46297717805835426,1991-02-01
Kristeligt Folkeparti,Socialdemokratiet,0.5864112937016739,1991-02-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.45398757987963817,1991-02-01
Kristeligt Folkeparti,Radikale Venstre,0.4775872056006149,1991-02-01
Fremskridtspartiet,Det Konservative Folkeparti,0.6583797706747716,1991-03-01
Fremskridtspartiet,Venstre,0.6705503509829854,1991-03-01
Fremskridtspartiet,Socialdemokratiet,0.5853238885480568,1991-03-01
Fremskridtspartiet,Centrum,0.7109965476819662,1991-03-01
Fremskridtspartiet,Socialistisk Folkeparti,0.7450602309936912,1991-03-01
Fremskridtspartiet,Radikale Venstre,0.6817655366507377,1991-03-01
Fremskridtspartiet,Kristeligt Folkeparti,0.3576220973048531,1991-03-01
Det Konservative Folkeparti,Fremskridtspartiet,0.6583797706747716,1991-03-01
Det Konservative Folkeparti,Venstre,0.7463760938105045,1991-03-01
Det Konservative Folkeparti,Socialdemokratiet,0.7556960263385742,1991-03-01
Det Konservative Folkeparti,Centrum,0.645751749828713,1991-03-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.7389820949210021,1991-03-01
Det Konservative Folkeparti,Radikale Venstre,0.6306740370725525,1991-03-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.4993861253364614,1991-03-01
Venstre,Fremskridtspartiet,0.6705503509829854,1991-03-01
Venstre,Det Konservative Folkeparti,0.7463760938105045,1991-03-01
Venstre,Socialdemokratiet,0.6758871059258676,1991-03-01
Venstre,Centrum,0.7643722514071715,1991-03-01
Venstre,Socialistisk Folkeparti,0.884086160330135,1991-03-01
Venstre,Radikale Venstre,0.6428928297241421,1991-03-01
Venstre,Kristeligt Folkeparti,0.4739116132537137,1991-03-01
Socialdemokratiet,Fremskridtspartiet,0.5853238885480568,1991-03-01
Socialdemokratiet,Det Konservative Folkeparti,0.7556960263385742,1991-03-01
Socialdemokratiet,Venstre,0.6758871059258676,1991-03-01
Socialdemokratiet,Centrum,0.5594496360674486,1991-03-01
Socialdemokratiet,Socialistisk Folkeparti,0.6228743945254281,1991-03-01
Socialdemokratiet,Radikale Venstre,0.5182125070529212,1991-03-01
Socialdemokratiet,Kristeligt Folkeparti,0.5177297112577249,1991-03-01
Socialistisk Folkeparti,Fremskridtspartiet,0.7450602309936912,1991-03-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.7389820949210021,1991-03-01
Socialistisk Folkeparti,Venstre,0.884086160330135,1991-03-01
Socialistisk Folkeparti,Socialdemokratiet,0.6228743945254281,1991-03-01
Socialistisk Folkeparti,Radikale Venstre,0.7086537747633495,1991-03-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.4302248170621072,1991-03-01
Radikale Venstre,Fremskridtspartiet,0.6817655366507377,1991-03-01
Radikale Venstre,Det Konservative Folkeparti,0.6306740370725525,1991-03-01
Radikale Venstre,Venstre,0.6428928297241421,1991-03-01
Radikale Venstre,Socialdemokratiet,0.5182125070529212,1991-03-01
Radikale Venstre,Socialistisk Folkeparti,0.7086537747633495,1991-03-01
Radikale Venstre,Kristeligt Folkeparti,0.2953830544801475,1991-03-01
Kristeligt Folkeparti,Fremskridtspartiet,0.3576220973048531,1991-03-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.4993861253364614,1991-03-01
Kristeligt Folkeparti,Venstre,0.4739116132537137,1991-03-01
Kristeligt Folkeparti,Socialdemokratiet,0.5177297112577249,1991-03-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.4302248170621072,1991-03-01
Kristeligt Folkeparti,Radikale Venstre,0.2953830544801475,1991-03-01
Fremskridtspartiet,Det Konservative Folkeparti,0.6418668795307515,1991-04-01
Fremskridtspartiet,Venstre,0.7682022905764169,1991-04-01
Fremskridtspartiet,Socialdemokratiet,0.8668431227689823,1991-04-01
Fremskridtspartiet,Centrum,0.6869916389250598,1991-04-01
Fremskridtspartiet,Socialistisk Folkeparti,0.49007229653452083,1991-04-01
Fremskridtspartiet,Radikale Venstre,0.7177520820997823,1991-04-01
Fremskridtspartiet,Kristeligt Folkeparti,0.4644817783058979,1991-04-01
Det Konservative Folkeparti,Fremskridtspartiet,0.6418668795307515,1991-04-01
Det Konservative Folkeparti,Venstre,0.6800169969818093,1991-04-01
Det Konservative Folkeparti,Socialdemokratiet,0.7182425656046993,1991-04-01
Det Konservative Folkeparti,Centrum,0.764664845188961,1991-04-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.639056295493889,1991-04-01
Det Konservative Folkeparti,Radikale Venstre,0.5523295470089875,1991-04-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.6923568247253564,1991-04-01
Venstre,Fremskridtspartiet,0.7682022905764169,1991-04-01
Venstre,Det Konservative Folkeparti,0.6800169969818093,1991-04-01
